position,Subwoofer(r),Subwoofer(r),Subwoofer(r),10 ft shot (slightly off center),10 ft shot (slightly off center),10 ft shot (slightly off center),10 ft shot (slightly off center),10 ft shot (slightly off center),,,10ft shot (near amp),10ft shot (near amp),10ft shot (near amp),10ft shot (near amp),10ft shot (near amp),10ft shot (near amp),10ft shot (near amp),amp note,amp note,amp note,amp note,amp note,amp note,amp note,amp note,mid note,mid note,mid note,mid note,mid note,mid note,mid note,13ft ampside far,13ft ampside far,13ft ampside far,13ft ampside far
pos (x) in,0.5,0.5,0.5,85.5,85.5,85.5,85.5,85.5,,,43,43,43,43,43,43,43,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,132,132,132,132
pos(y) in,39.25,39.25,39.25,11,11,11,11,11,,,77,77,77,77,77,77,77,57,57,57,57,57,57,57,57,0,0,0,0,0,0,0,55,55,55,55
speed (l/r) (rps),70/50,65/65,52.75/52.75,65/65,70/50,60/60,65/65,70/50,,,60/60,60/60,70/50,65/65,60/60,65/65,70/50,60/60,60/60,65/65,70/50,55/55,65/65,60/60,70/50,60/60,65/65,70/50,60/60,65/65,70/50,55/55,60/60,65/65,65/65,70/50
Pich (Degrees),55,55,55,38,38,38,36,36,,,35,42,39,39,40,36,36,40,38,38,38,38,36,36,36,36,36,36,38,38,38,38,36,30,31,33
Trial 1,success (banked off inner side),success (almost bounced out due to angle being high),success (farther left and a little weak),success (straight in),success (pretty good),success (ricocheted off of the bottom lip),success (good angle),success (skimms bottom of air),,,F bounced low,F bounced off top left,success (left mid),success,success,miss (too low),miss (too low),miss (too high),miss (too high),success (left mid),,success (left mid),success (great shot),success (midlow left),success (bottom lip flop),success (front lip flop,success (corner shot),success (floated up),success (floated up),success (high),success (middle),success (ooh),fail (top lip bounce),fail (too low),success (great shot),
Trial 2,success (banked off inner side),success (rebounded off inner wall good),success (farther left and a little weak),fail (slighly above),success (slightly low),success,success (good angle),success (skimms bottom of air),,,,,success (center shot),success (bit close maybe shoot lower),fail (bounced top center,,,miss (too high),miss (too high),fail (hit top lip),,,fail (hit side wall bounced out),success (midlow left),fail (bottom lip boujnce),success (floated up over front lip),success (bounced around),fail (bounced off bottom lip),success,fail (hit top),success (great shot),success (floated a little),,,success (bottom lip flop),
Trial 3,"fail (too high, bounced out of the speaker)",fail (off slightly left ; unclear if human error),success (farther left and a little weak),success (almost too far up,,success (but barely),success (slighly low),success (barely avoiding bottom),,,,,success (center a little low),success (shot somewhat centered),success (far left front),,,,,fail (hit top lip),,,success,success (flopped mid low left),,,,,,fail (hit top),,,,,success (great shot),
Trial 4,success (banked off inner side),success (confortable made it in), , ,,,,,,,,,,,success (far left front),,,,,,,,success (great shot),,,,,,,,,,,,fail (bottom lip flop),
Trial 5, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,